지점,일시,일누적 자외선 A(MJ/m2),일최대 자외선 B(W/m2 )
132,2018-01-01,.3,.053
132,2018-01-02,.19,.036
132,2018-01-03,.38,.076
132,2018-01-04,.31,.07
132,2018-01-05,.32,.066
132,2018-01-06,.39,.076
132,2018-01-07,.19,.044
132,2018-01-08,.2,.041
132,2018-01-09,.27,.056
132,2018-01-10,.2,.045
132,2018-01-11,.31,.053
132,2018-01-12,.4,.058
132,2018-01-13,.35,.05
132,2018-01-14,.36,.069
132,2018-01-15,.35,.063
132,2018-01-16,.15,.041
132,2018-01-17,.31,.055
132,2018-01-18,.25,.063
132,2018-01-19,.36,.07
132,2018-01-20,.31,.057
132,2018-01-21,.35,.067
132,2018-01-22,.25,.051
132,2018-01-23,.43,.072
132,2018-01-24,.36,.08
132,2018-01-25,.44,.096
132,2018-01-26,.48,.103
132,2018-01-27,.45,.093
132,2018-01-28,.39,.078
132,2018-01-29,.43,.07
132,2018-01-30,.38,.072
132,2018-01-31,.26,.045
132,2018-02-01,.5,.084
132,2018-02-02,.44,.078
132,2018-02-03,.45,.077
132,2018-02-04,.5,.079
132,2018-02-05,.46,.063
132,2018-02-06,-999,-999
132,2018-02-07,-999,-999
132,2018-02-08,.44,.073
132,2018-02-09,.42,.097
132,2018-02-10,.39,.095
132,2018-02-11,.42,.091
132,2018-02-12,.4,.082
132,2018-02-13,.54,.089
132,2018-02-14,.34,.067
132,2018-02-15,.55,.113
132,2018-02-16,.48,.091
132,2018-02-17,.59,.101
132,2018-02-18,.35,.088
132,2018-02-19,.46,.099
132,2018-02-20,.44,.083
132,2018-02-21,.53,.101
132,2018-02-22,.57,.09
132,2018-02-23,.42,.072
132,2018-02-24,.55,.106
132,2018-02-25,.54,.101
132,2018-02-26,.63,.115
132,2018-02-27,.39,.089
132,2018-02-28,.09,.023
132,2018-03-01,.62,.16
132,2018-03-02,.72,.144
132,2018-03-03,.69,.141
132,2018-03-04,.41,.129
132,2018-03-05,.61,.17
