지점,일시,일누적 자외선 A(MJ/m2),일최대 자외선 B(W/m2 )
132,2018-03-06,.72,.174
132,2018-03-07,.48,.14
132,2018-03-08,.52,.136
132,2018-03-09,.7,.143
132,2018-03-10,.73,.165
132,2018-03-11,.69,.154
132,2018-03-12,.65,.132
132,2018-03-13,.63,.14
132,2018-03-14,.81,.169
132,2018-03-15,.14,.044
132,2018-03-16,.75,.171
132,2018-03-17,.79,.177
132,2018-03-18,.23,.066
132,2018-03-19,.28,.083
132,2018-03-20,.61,.182
132,2018-03-21,.21,.048
132,2018-03-22,.83,.166
132,2018-03-23,.85,.157
132,2018-03-24,.51,.118
132,2018-03-25,.39,.098
132,2018-03-26,.73,.164
132,2018-03-27,.67,.117
132,2018-03-28,.75,.156
132,2018-03-29,.29,.061
132,2018-03-30,.72,.152
132,2018-03-31,.76,.168
132,2018-04-01,.27,.074
132,2018-04-02,.89,.181
132,2018-04-03,.45,.139
132,2018-04-04,.59,.156
132,2018-04-05,.17,.058
132,2018-04-06,.55,.176
132,2018-04-07,.91,.154
132,2018-04-08,.72,.131
132,2018-04-09,.93,.172
132,2018-04-10,.78,.189
132,2018-04-11,1.02,.205
132,2018-04-12,.94,.209
132,2018-04-13,.5,.175
132,2018-04-14,.24,.079
132,2018-04-15,.86,.212
132,2018-04-16,.96,.221
132,2018-04-17,.94,.191
132,2018-04-18,1.05,.229
132,2018-04-19,.98,.211
132,2018-04-20,.98,.215
132,2018-04-21,1.13,.261
132,2018-04-22,.34,.208
132,2018-04-23,.18,.043
132,2018-04-24,.53,.16
132,2018-04-25,1.05,.228
132,2018-04-26,.97,.225
132,2018-04-27,.9,.174
132,2018-04-28,1,.228
132,2018-04-29,1,.252
132,2018-04-30,.68,.218
132,2018-05-01,.57,.154
132,2018-05-02,.35,.124
132,2018-05-03,1.02,.194
132,2018-05-04,1.14,.235
132,2018-05-05,.96,.26
132,2018-05-06,.25,.067
132,2018-05-07,.75,.247
132,2018-05-08,1.07,.266
132,2018-05-09,1.13,.247
132,2018-05-10,-999,.282
132,2018-05-11,-999,.199
132,2018-05-12,.11,.017
132,2018-05-13,.83,.139
132,2018-05-14,.97,.146
132,2018-05-15,.78,.157
132,2018-05-16,.24,.057
132,2018-05-17,.34,.093
132,2018-05-18,.49,.106
132,2018-05-19,.99,.184
132,2018-05-20,.76,.146
132,2018-05-21,1.15,.225
132,2018-05-22,.54,.139
132,2018-05-23,1.21,.216
132,2018-05-24,1.16,.19
132,2018-05-25,.96,.182
132,2018-05-26,1.22,.194
132,2018-05-27,.5,.08
132,2018-05-28,1.21,.205
132,2018-05-29,.95,.19
132,2018-05-30,.69,.156
132,2018-05-31,1.27,.19
132,2018-06-01,1.24,.2
132,2018-06-02,1.25,.212
132,2018-06-03,1.22,.215
132,2018-06-04,.93,.206
132,2018-06-05,1.3,.217
132,2018-06-06,1.19,.195
132,2018-06-07,1.2,.211
132,2018-06-08,.77,.098
132,2018-06-09,1.1,.211
132,2018-06-10,.85,.186
132,2018-06-11,1.21,.164
132,2018-06-12,1.56,.178
132,2018-06-13,1.13,.159
132,2018-06-14,.93,.17
132,2018-06-15,1.21,.15
132,2018-06-16,1.45,.211
132,2018-06-17,1.16,.203
132,2018-06-18,1.28,.215
132,2018-06-19,.57,.071
132,2018-06-20,1.35,.213
132,2018-06-21,1.35,.211
132,2018-06-22,1.41,.206
132,2018-06-23,1.32,.178
132,2018-06-24,1.35,.171
132,2018-06-25,1.09,.192
132,2018-06-26,.14,.029
132,2018-06-27,1.1,.235
132,2018-06-28,.29,.047
132,2018-06-29,1.06,.18
132,2018-06-30,.87,.159
132,2018-07-01,.12,.028
132,2018-07-02,.91,.218
132,2018-07-03,1.56,.286
132,2018-07-04,1.49,.264
132,2018-07-05,1.38,.271
132,2018-07-06,.61,.121
132,2018-07-07,1.54,.268
132,2018-07-08,1.26,.238
132,2018-07-09,.36,.133
132,2018-07-10,.95,.292
132,2018-07-11,1.33,.331
132,2018-07-12,1.18,.227
132,2018-07-13,1.13,.279
132,2018-07-14,1.41,.304
132,2018-07-15,1.56,.292
132,2018-07-16,1.56,.299
132,2018-07-17,1.6,.302
132,2018-07-18,-999,-999
132,2018-07-19,-999,-999
132,2018-07-20,1.41,.28
132,2018-07-21,1.48,.267
132,2018-07-22,1.34,.309
132,2018-07-23,1.55,.312
132,2018-07-24,1.55,.298
132,2018-07-25,1.53,.283
132,2018-07-26,1.49,.276
132,2018-07-27,1.4,.267
132,2018-07-28,1.45,.264
132,2018-07-29,1.49,.257
132,2018-07-30,1.54,.3
132,2018-07-31,1.53,.276
132,2018-08-01,1.45,.245
132,2018-08-02,1.43,.253
132,2018-08-03,1.46,.262
132,2018-08-04,1.48,.272
132,2018-08-05,1.45,.265
132,2018-08-06,1.49,.263
132,2018-08-07,1.41,.244
132,2018-08-08,1.46,.259
132,2018-08-09,1.23,.236
132,2018-08-10,1.27,.224
132,2018-08-11,1.27,.241
132,2018-08-12,1.13,.258
132,2018-08-13,1.45,.277
132,2018-08-14,1.38,.282
132,2018-08-15,1.35,.245
132,2018-08-16,1.29,.256
132,2018-08-17,1.43,.246
132,2018-08-18,1.34,.237
132,2018-08-19,1.22,.245
132,2018-08-20,1.19,.233
132,2018-08-21,.65,.202
132,2018-08-22,1.35,.25
132,2018-08-23,.59,.213
132,2018-08-24,.7,.235
132,2018-08-25,.55,.125
132,2018-08-26,.59,.154
132,2018-08-27,.49,.144
132,2018-08-28,.61,.148
132,2018-08-29,1.13,.268
132,2018-08-30,1.05,.254
132,2018-08-31,.81,.172
132,2018-09-01,1.28,.207
132,2018-09-02,1.08,.213
132,2018-09-03,.72,.235
132,2018-09-04,1.27,.204
132,2018-09-05,1.26,.209
132,2018-09-06,.71,.136
132,2018-09-07,.93,.166
132,2018-09-08,1.22,.193
132,2018-09-09,1.22,.194
132,2018-09-10,1.16,.198
132,2018-09-11,.9,.175
132,2018-09-12,1.18,.195
132,2018-09-13,.56,.119
132,2018-09-14,.45,.106
132,2018-09-15,.46,.152
132,2018-09-16,.41,.085
132,2018-09-17,1.14,.191
132,2018-09-18,1.03,.197
132,2018-09-19,.59,.144
132,2018-09-20,.47,.123
132,2018-09-21,.44,.148
132,2018-09-22,1.05,.179
132,2018-09-23,.98,.158
132,2018-09-24,1.05,.169
132,2018-09-25,1.05,.163
132,2018-09-26,.97,.159
132,2018-09-27,1.04,.167
132,2018-09-28,.55,.097
132,2018-09-29,1.02,.17
132,2018-09-30,.96,.164
132,2018-10-01,.66,.155
132,2018-10-02,.97,.153
132,2018-10-03,.97,.148
132,2018-10-04,.91,.16
132,2018-10-05,.23,.055
132,2018-10-06,.4,.116
132,2018-10-07,.93,.166
132,2018-10-08,.76,.15
132,2018-10-09,.52,.106
132,2018-10-10,.83,.149
132,2018-10-11,.81,.135
132,2018-10-12,.84,.132
132,2018-10-13,.83,.126
132,2018-10-14,.75,.131
132,2018-10-15,.66,.099
132,2018-10-16,.52,.101
132,2018-10-17,.8,.116
132,2018-10-18,.72,.106
132,2018-10-19,.79,.113
132,2018-10-20,.77,.114
132,2018-10-21,.76,.112
132,2018-10-22,.52,.112
132,2018-10-23,.46,.079
132,2018-10-24,.76,.115
132,2018-10-25,.73,.115
132,2018-10-26,.24,.056
132,2018-10-27,.68,.111
132,2018-10-28,.41,.077
132,2018-10-29,.6,.099
132,2018-10-30,.65,.094
132,2018-10-31,.67,.096
132,2018-11-01,.67,.099
132,2018-11-02,.65,.096
132,2018-11-03,.63,.099
132,2018-11-04,.62,.097
132,2018-11-05,.52,.079
132,2018-11-06,.39,.07
132,2018-11-07,.31,.049
132,2018-11-08,.07,.014
132,2018-11-09,.32,.075
132,2018-11-10,.51,.069
132,2018-11-11,.17,.037
132,2018-11-12,.54,.082
132,2018-11-13,.57,.073
132,2018-11-14,.52,.075
132,2018-11-15,.48,.07
132,2018-11-16,.42,.066
132,2018-11-17,.53,.084
132,2018-11-18,.19,.035
132,2018-11-19,.46,.073
132,2018-11-20,.5,.07
132,2018-11-21,.12,.022
132,2018-11-22,.45,.063
132,2018-11-23,.45,.051
132,2018-11-24,.34,.045
132,2018-11-25,.43,.061
132,2018-11-26,.48,.063
132,2018-11-27,.35,.054
132,2018-11-28,.41,.06
132,2018-11-29,.16,.017
132,2018-11-30,.49,.058
132,2018-12-01,.36,.049
132,2018-12-02,.36,.049
132,2018-12-03,.08,.013
132,2018-12-04,.28,.055
132,2018-12-05,.38,.046
132,2018-12-06,.38,.053
132,2018-12-07,.33,.052
132,2018-12-08,.42,.055
132,2018-12-09,.47,-999
132,2018-12-10,.43,.06
132,2018-12-11,.25,.048
132,2018-12-12,.44,.054
132,2018-12-13,.27,.037
132,2018-12-14,.44,.049
132,2018-12-15,.41,.055
132,2018-12-16,.25,.049
132,2018-12-17,.34,.04
132,2018-12-18,.38,.042
132,2018-12-19,.39,.047
132,2018-12-20,.35,.05
132,2018-12-21,.28,.046
132,2018-12-22,.36,.055
132,2018-12-23,.42,.058
132,2018-12-24,.4,.051
132,2018-12-25,.24,.033
132,2018-12-26,.43,.062
132,2018-12-27,.43,.059
132,2018-12-28,.41,.067
132,2018-12-29,.43,.067
132,2018-12-30,.45,.061
132,2018-12-31,.43,.053
